date,keyword,counts
4/3/22,laptop,39
4/3/22,mechanical keyboard,1
4/3/22,noise cancelling headphones,1
4/3/22,smartphone,1
4/3/22,smartwatch,2
4/10/22,Apple,55
4/10/22,Logitech,2
4/10/22,NVIDIA,3
4/10/22,OLED monitor,0
4/10/22,Samsung,22
4/10/22,laptop,35
4/10/22,mechanical keyboard,1
4/10/22,noise cancelling headphones,1
4/10/22,smartphone,1
4/10/22,smartwatch,2
4/17/22,Apple,58
4/17/22,Logitech,4
4/17/22,NVIDIA,3
4/17/22,OLED monitor,0
4/17/22,Samsung,23
4/17/22,laptop,37
4/17/22,mechanical keyboard,1
4/17/22,noise cancelling headphones,1
4/17/22,smartphone,1
4/17/22,smartwatch,2
4/24/22,Apple,57
4/24/22,Logitech,2
4/24/22,NVIDIA,3
4/24/22,OLED monitor,0
4/24/22,Samsung,22
4/24/22,laptop,35
4/24/22,mechanical keyboard,1
4/24/22,noise cancelling headphones,1
4/24/22,smartphone,1
4/24/22,smartwatch,2
5/1/22,Apple,57
5/1/22,Logitech,2
5/1/22,NVIDIA,3
5/1/22,OLED monitor,0
5/1/22,Samsung,22
5/1/22,laptop,34
5/1/22,mechanical keyboard,1
5/1/22,noise cancelling headphones,1
5/1/22,smartphone,1
5/1/22,smartwatch,2
5/8/22,Apple,58
5/8/22,Logitech,2
5/8/22,NVIDIA,3
5/8/22,OLED monitor,0
5/8/22,Samsung,22
5/8/22,laptop,35
5/8/22,mechanical keyboard,1
5/8/22,noise cancelling headphones,1
5/8/22,smartphone,1
5/8/22,smartwatch,2
5/15/22,Apple,56
5/15/22,Logitech,2
5/15/22,NVIDIA,3
5/15/22,OLED monitor,0
5/15/22,Samsung,21
5/15/22,laptop,34
5/15/22,mechanical keyboard,1
5/15/22,noise cancelling headphones,1
5/15/22,smartphone,1
5/15/22,smartwatch,2
5/22/22,Apple,59
5/22/22,Logitech,2
5/22/22,NVIDIA,3
5/22/22,OLED monitor,0
5/22/22,Samsung,23
5/22/22,laptop,34
5/22/22,mechanical keyboard,1
5/22/22,noise cancelling headphones,1
5/22/22,smartphone,1
5/22/22,smartwatch,2
5/29/22,Apple,57
5/29/22,Logitech,2
5/29/22,NVIDIA,3
5/29/22,OLED monitor,0
5/29/22,Samsung,24
5/29/22,laptop,34
5/29/22,mechanical keyboard,1
